id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count
6327235,0.0,You could not be more wrong. The absolute vast majority of people who appear in court are not under arrest and are not in police custody.,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:21:25.355084+00,102,6323747.0,398907,approved,0,0,0,1,0,0.0,0,4
6327236,0.0,"None of this is in a court of law.   They are just hopping on the bandwagon because it is the cool thing to do.  Right now, they will get more vitriol if they do not claim they have been victimized by a male society.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10 04:22:16.701163+00,13,6327178.0,399015,approved,0,0,0,0,0,0.0,5,4
6327238,0.2,People have been killing people since the dawn of people. some people want a false sense of security and are perfectly willing to give away your rights to attain it.,0.0,0.0,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:22:37.085889+00,13,,399025,approved,0,0,0,1,1,0.0,0,10
6327239,0.1836734693877551,"Actually, there is no proof that any Democrat primary vote was rigged, or that voted were manipulated.......like you care, anyways.

You should quit the fake melodrama.....it isn't very becoming of you.

Besides....are you telling us that a pedophile serving in the US Senate doesn't concern you?  You know how there are many people on here posting that Republicans won't care, as long as they get a win in that election?  Your posts are proving their point.  Instead of being mad about the possibility of a pedophile serving in the US Senate, you're complaining about the coverage of this, and the supposed lack of coverage of the DNC.",0.0,0.0204081632653061,0.0204081632653061,0.1836734693877551,0.0204081632653061,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:22:39.289447+00,102,6325713.0,398977,approved,0,0,0,1,0,0.0204081632653061,0,49
6327240,0.1666666666666666,"Didn't the Russian doping scandal break in 2014, shortly after Sochi, and well over a year before anybody said anything about Russian meddling in the U.S. election?
These Russian election meddlers sure did  plan ahead. They seem to have plotted their revenge before they even knew they were wronged.",0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10 04:22:59.659994+00,54,,399065,approved,0,0,0,0,0,0.0,4,6
6327241,0.3,A deported illegal alien tries to illegally enter the US again.  Is anyone surprised?   Time for this young man to see the inside of a US  jail.,0.0,0.0,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:23:32.696812+00,105,,399098,approved,0,0,0,1,0,0.0,0,10
6327242,0.0,Interesting how there are these folks who believe there is no need for any taxes. Yet none of them live in a place that has no taxes. Nor do none of them admit they every use anything paid for by taxes.,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:23:06.517343+00,21,6326680.0,399140,approved,0,0,0,15,1,0.0,0,4
6327244,0.0,"Bill, you didn't yell ""FIRE!"" in the theater again now, did you?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10 04:23:56.502275+00,13,6326529.0,399015,approved,0,0,0,0,0,0.0,4,4
6327246,0.2,"I do not see why Russia is more important than Myanmar, China, Saudi Arabia, North Korea, Iraq, etc.   It appears to me that this was simply a cosmetic piece of legislation designed solely to embarrass the Russians, in imitation of the American law.",0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10 04:23:50.504362+00,54,6326063.0,399003,approved,0,0,0,1,0,0.0,10,5
6327247,0.0,"Wonderful! First Lady Melania is working so hard for children and families both American and internationally, what an ambassador for families, women, and children especially-awesomeness!
Americans are so very proud of our First Lady, Melania!  Absolutely Perfect that she will visit with JBER families on an Anchorage, Alaska stop! Dearest First Lady, thank you, Gracie, gracias, Danke, a ti - molta bellezza! Gracie, Bella!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10 04:23:48.239858+00,21,,398899,approved,1,0,0,2,0,0.0,4,4
6327248,0.3,"Could your skin be any thinner? Nenshi says in the article that it's not a Calgary thing or an Alberta thing. He points to examples in Quebec and Vancouver, but the guy who seems to want perpetuate the fragile Albertan stereotype says ""they're picking on me."" 

At no point was it implied or stated that Alberta is more racist than any other place. Just that racism is an issue here and that there has been a rise in racism and Islamaphobia in recent years across Canada.

It's kind of poetically ironic that you're accusing him (falsely) of doing exactly what you're doing.",0.0,0.0,0.3,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-10 04:23:57.365742+00,54,6324713.0,399020,approved,0,0,1,12,5,0.0,0,10
