comment_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,class
"""
 
 Ok Bobrayner, I will refrain from posting to the main definition of Inertial_Propulsion, if you will recognize my efforts in the field in the Discussion page.
 
I TOTALLY understand that controversial subjects that have the mantle of Dogma on it's shoulders has an uphill battle. I only request that others look over what I have done in the field, and debate the evidence, rather than throw stones at """"the other"""", that does NOT conform to current beliefs.
 

Do you have any creative suggestions for how to add the GIT (Gyroscopic Inertial Thruster) definition of machine types to the main page?  It is a clearly novel approach to the subject, and has had positive (as well as negative) results in the real world.
 
""""Force Rectifying"""" angular accelerations to produce linear acceleration as a """"footloose"""" example of """"tractoring"""" on the """"Zero Point Field"""" has actual physical examples to give it credence, but the intolerance of science as a religion prevents rational debate, and examination.
 
When I whirl around on a merry-go-round, the forces I feel tugging me off of that ride, to the outside, are NOT a result of tiny bullets, impinging on me!
 
ALL of matter, that has """"inertia"""" feels it's place in this universe through some kind of interaction with the universe around it.
 
While the """"Aether"""" was discredited because it did NOT conform to our definition of a classical gas, the Zero Point Field (Rueda, Puthoff, and Haisch), describes a coupling of baryonic matter with it's surroundings.
 
This is the medium that the GIT series of thrusters """"tractor"""" on.
 
I am a fairly simple guy, with beliefs engendered by my experiences, and I refuse to """"toe the party line"""", when reality, trumps """"faith"""".
 
  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0
"""
Unspecified source for Image:Zengesnertrumpet.jpg

Thanks for uploading Image:Zengesnertrumpet.jpg. I notice the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you have not created this file yourself, then there needs to be an argument why we have the right to use it on Wikipedia (see copyright tagging below). If you did not create the file yourself, then you need to specify where it was found, i.e., in most cases link to the website where it was taken from, and the terms of use for content from that page.

If the file also doesn't have a copyright tag, then one should be added. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Fair use, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair_use.  See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following this link. Unsourced and untagged images may be deleted one week after they have been uploaded, as described on criteria for speedy deletion. If you have any questions please ask them at the Media copyright questions page. Thank you.  talk """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0
"""

 biggest problem? 

the only problem with all of this is that Wikipedia IS evil.
With all of the rules and all of the noise, what it still comes
down to is a mob of people doing whatever they want as a mob, against reason, against fairness, against logic, and against truth.
Theres no way to deal with abuse and no recourse for the abused. The place runs on ad hominems and pack psychology. It panders to the lowest common denominator, and in the end its articles are well neutered of any actual depth content or meaning. """"Neutrality"""" as a buzzword is used to emascualte a topic so that it has no political
implications or consequences. The same standing is given to a pov warrior and a pet admin as is given to a knowledgable expert. Opinion rules here, not wisdom, and not even any real form of neutrality. Wikipedia IS factually evil. The question here, is how
to go about fixing that problem. Denial won't help.

Well, enough bothering with pearls and swine for today, my """"contributions"""" file should speak for itself. I have been involved in 3 vfds since showing up, each one of which was run on ad hominems and straw man attacks. I have been blocked on trumped up charges by a pov warrior and his pet rogue admin. I have sought from every corner of Wikipedia some sort of actual problem solving process to adress patent abuses, all to no avail. Wikipedia is in fact evil, and it deserves to fail as an encylopedia unless it can
solve its problems. Unless wikipedia can figure out how to not be a mob groupthink social experiment where any idiot, fool, con artist,
or propagandist can assume equal footing with knowledge and fact,
Wikipedia is just a big fat doomed social experiment, which will die
because enough people will recognize that it is in fact evil, and go
do better and more important things with their time, like start A REAL online Encylopedia that includes logic and knowledge and truth and basic criteria for defining abuse and basic methodlogies for dealing with it. 

 """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0
"""

 BLP, ethnicity, gender 

Remember a couple of years back, when I tried a common subpage for both policy and guidelines? And you objected, so we split them back up?

Well, as I predicted, they've diverged over time. And now the wiki-lawyers are arguing that """"policy"""" trumps """"guidelines"""".  Since the BLP policy doesn't specifically mention Ethnicity and Gender, while at least a half dozen guidelines do, it's been disrupting WP:CFD, and WP:EGRS, and quite a bit else.

Could you take a look at the main (above), and see whether you support adding Ethnicity and Gender into the policy?

And do you know of anywhere that the Policy and Guidelines has language about precedence?

I suppose that this boils down to prescriptivism versus descriptivism, yet another matter we have discussed. We need both, because the wiki-lawyers look for loopholes.  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0
"""

Stabbed Kercher getting axed
Hello, Wikid77 here. I am contacting a few admins about this. Now that User:Zlykinskyja has been hounded away from editing """"Murder of Meredith Kercher"""", the wholesale axing of fully-sourced text has begun. See: removal of forensics. The apparent WP:Wikihounding of Zlykinskyja might have been as a woman, with legal expertise, trying to keep the article neutral in legal terms. I warned beware of """"colleagues gasping if they knew about editing on that lowly pedia"""". Perhaps if American student Amanda had been """"Adam Knox"""" then fewer people would want to remove sourced text disputing the evidence and 20? misquoted infamous statements. (I didn't know any evidence in December 2009, now I know much, and some seems falsified in Italy). Zlykinskyja tried to add how """"Donald Trump"""" rejected the verdict (+source), but that was quickly deleted. Some US officials are conducting a mock-trial by judge to compare verdicts, but I doubt that could be explained in the article. Then some prankster this week posted at top, """"Breaking news: Knox dead in prison from suicide, details not confirmed"""" (from an IP edit in the London area), and some say Knox cried in jail when she heard WP posted that. I wish we could split the article into several low-target subarticles (I noted Manson Family has 17 spinoff articles). The talk-page has resisted any attempt to reduce the rabid focus on """"Amanda Knox"""" and naturally, a prior subarticle was AfD deleted.However, I suggest the following:
 """"Amanda Knox"""" (redirect) - becomes broad neutral article with civil suits, appellate trial, and college coursework in prison.
 """"Raffaele Sollecito"""" (redirect) - becomes broad neutral article, noting he completed his computer degree while in custody, and they met, at a classical music concert, because he looked like Harry Potter.
 """"Prosecution of Amanda Knox"""" (new) - would contain all the pro/anti-Knox text, moved from edit-wars in the Kercher article.
 """"Investigations of Kercher murder"""" (new) - would be a forensic article, with fingerprints, Low copy number DNA, luminol, unidentified DNA/prints, listing exact quotes+sources, etc.
 """"Murder of Meredith Kercher"""" (reduced) - would be trimmed into an overview, linking sections to subarticles.
I have seen how other articles, split into subarticles, greatly reduce the vandalism in the spinoff details, so that forensic details would likely match the sources, when viewed there. This message is just a general notice, sent to a few admins, and I don't expect an immediate response. Also, feel free to delete this, knowing it was posted in a 1 May talk-page revision: as a May Day warning about axing of Kercher text. Thanks. -  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0
"""
Sorting and proper English WP:SORT reads in part, """"[S]ort keys are used to exclude prefixes that are... considered unimportant (such as """"The"""")."""" The Beatles are sorted as """"Beatles"""", The Rolling Stones are sorted as """"Rolling Stones"""", etc. There is no compelling reason to ignore this convention in this case. Even if the band always insists upon using a non-standard style, this style guide trumps their preference for inclusion in categories at Wikipedia. —❤T☮C☺M☯ """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0
"This talk page is full of discussions about your sources, arguments and claims. Whatever improbable idea or source you get, we discuss it here. So with that in mind I'd advise you, once again, to please stop lying that editors don't want to be involved in discussions, it's highly disgraceful that you keep trumpeting that. Even if you repeat it another 100000000000000000 times it still won't be true. Also you are the only one trying to derail the status quo, today alone you made 14 (with word: fourtheen) edits to the article."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0
"And now for some... amusement 

After all the times you have thwarted me... After all the times my plans for world domination were foiled by your meddlesome interference... After all the countless times you escaped at the very last moment, finally, I, Butros The Mighty, have defeated you, Crum375, Space Commander From Swalwell! 
How long I have awaited this glorious triumph! The Emperor Of The Universe has secured his dominion on this day! And now that my long struggle is over, how about a little... amusement?
With a clap of my jewel-bedecked hands, I summon the scantily clad dancing girls of my Pan-Galactic Slave-Harem. 
I have destroyed your accursed vessel, Star Of Abuse III, and melted it into slag, from which the galaxy's greatest artisans have forged a grand, towering statue... of me! A statue even larger and grander than the one you toppled, pinning me under its plinth, the day you nearly destroyed my Throne Room! The statue stands here in the Grand Ballroom of my Great Celestial Palace, covered in a gigantic space-tarp, but not so fast, Crum, we are not yet ready for the grand unveiling. 
I have captured the traitorous Princess Angela and her rebel allies from the Spaceship Tax Evader and immobilized them in geo-stationary orbit above my palace. At the merest touch of a button, I can activate the Astro-Detonator and delight the assembled billions here with a fireworks display the likes of which the great Butronian Empire has never seen! Princess Angela may be my own daughter, but that will not stop me from turning her and her fellow Wiki-lovers into space-dust. Even now, helplessly strapped into titanium space-manacles, they witness all I say and do on the Projecto-Screen of the Gallant. Hello, my fair daughter. How does it feel to lay eyes once again on your own... DOOM?
Ha ha ha ha ha!
See how I have seized your puny Earth friends, your boob-lover helper Guy Chapman and boy sidekick Jayjg? They too shall be forced to look on as I gorge in ecstasy at your failure and destroy your planet! Even now, I can see they long for me to discharge the Fang-Creatures of Carnivoron into their glass-walled prison, thus releasing them from the agony of witnessing my victory... But no! First, they will watch you writhe in defeat!
And that is not all, Crum! Surely, even slung in your titanium chains above the Flames Of Hate, you can see that to my right I have, held at Blasto-Ray-point by my Robo-Legionnaires, bound and displayed for all to see... Jimbo Wales and his Rocket Squad! Repturova, the Talurnian walking-lizard spy who betrayed me by joining you! Weissus, commander of the Valkyrie War-Jet Platoon! And last but not least... your beloved Julian Van August!
And now, with the merest wave of my Hypno-Scepter... Watch as your darling Earth friend tumbles under my spell. DANCE! Dance for my amusement! Let the sight of your seductively writhing body, contorting itself for my viewing pleasure, be the last thing Crum sees before she is lowered into the Flames! 
Tears?! Do I see tears in the eyes of the brave Crum375, also kown as Linda Mack? Oh-ho! Even I, in my most sinister, depraved dreams, would never have imagined it!
DANCE FOR MY AMUSEMENT! NEH-HEH heh-heh-heh-heh! HA HAHAHAHA!
How glorious! At last, with trumpet fanfare from my Astro-Orchestra, I order the curtain raised from my statue and...WHAT?!! ... It's a newly rebuilt Star Of Abuse IV! And who is that emerging from the gangplank? Crum, herelf?! 
NO! 
Buddy Jayjg has activated a hidden radio signal! The Rocket Squad is bursting free and shrinking my Robo-Legionnaires into nothing with Transmut-O-Bracelets concealed in their manacles! Weissus swings his mighty Space-Mace, smashing the controls to my torturous devices! My Hypno-Scepter, forced from my grasp by Prince Kazak's Magneto-Shooto-Beam! Julian Van August, running free into the awaiting arms of... CRUM?
Then, who is the prisoner suspended above the Flames Of Hate? What? Emitting the telltale sparks and ear-smoke of an android double? Drat! It's nothing more than a simple robo-mannequin decoy! 
Aiyeee! The Spaceship Gallant, with Princess Angela at the helm, is dive-bombing the Great Celestial Palace! Billowing clouds of space-smoke! Crowds running everywhere! Kaff! I'm choking! Kaff, kaff! Victory has—kaff—slipped through my fingers—kaff, kaff!—once again! Kaff, kaff!—CURSE YOU, CRUM kaff 375! Kaff! CURSE kaff YOU kaff FOREVER! Kaff, kaff, kaff, kaff...

THE END"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,1
"""
 yes, I am aware of all of these things, see user:frietjes/vector.css and #Solution for you and my comments on the talk page of wp:accessibility.  my initial problem was that any css modifications would be ignored by inline style statements, but it appears there is a way to use """"!important"""" to trump those changes.  it just gets very tedious to have to create an entirely new style sheet because someone thinks red on green looks great.  it's an ongoing process.   I have also been working on some greasemonkey stuff to modify such things everywhere on the web, but that has been slow going, given the myriad of ways people can add junk.  thank you though.   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,0
"Re: TTS. Surely you jest  he is the definition of partisan, though it is perhaps telling that you feel he is not while UH scholars are. For LaCroix, you may wish to start here. Finally, WP:UNDUE trumps the argument you are trying to make, I'm afraid  not all POVs are equal. The cites I removed were justified on the basis that they were pushing a POV. Again, the mere fact that POV statement/push is cited (the additions you so often make being quite the textbook examples of cherry-picking) does not legitimize it. This is elemental, and most unfortunate that you do not so recognize. 

As for Viriditas' message, I couldn't agree more. If what it takes is taking this (and some of the other articles) to mediation, which I assume is what Viriditas means, I would support that if that's where we need to go to get the articles back to a NPOV. The current process of doing so is proving to be unnecessarily contentious and involving a high degree of nitpicking that is an utter waste of everyone's time."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0
